RANK,CHEMICAL,TOTAL_RELEASES,N_FACILITIES,N_YEARS_REPORTED,CARCINOGEN,PBT,PFAS,CLASSIFICATION
26,Barium  And Barium Compounds,8635691.569,19,7,NO,NO,NO,TRI
27,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),8350225.842,54,7,NO,NO,NO,TRI
28,Xylene (mixed isomers),8178992.139,159,15,NO,NO,NO,TRI
29,Aluminum (fume or dust),7754065.409,26,15,NO,NO,NO,TRI
30,Styrene,7608082.568,60,15,YES,NO,NO,TRI
31,Acetaldehyde,6452363.942,23,15,YES,NO,NO,TRI
32,Zinc (fume or dust),6031223.4350000005,33,15,NO,NO,NO,TRI
33,Phenol,4646429.751,33,15,NO,NO,NO,TRI
34,Chromium,4392335.383,257,15,NO,NO,NO,TRI
35,Copper  And Copper Compounds,4359378.689,64,7,NO,NO,NO,TRI
36,Lead  And Lead Compounds,4084097.075,146,7,NO,YES,NO,PBT
37,Nickel  And Nickel Compounds,4013533.4850000003,52,7,YES,NO,NO,TRI
38,"1,2,4-Trimethylbenzene",3915814.832,109,15,NO,NO,NO,TRI
39,Nitric acid,3731034.235,124,15,NO,NO,NO,TRI
40,Aluminum oxide (fibrous forms),3146223.33,12,15,NO,NO,NO,TRI
41,Hydrogen sulfide,2730055.241,22,13,NO,NO,NO,TRI
42,Ethylene glycol,2434394.0609999998,135,15,NO,NO,NO,TRI
43,Maleic anhydride,2361088.585,15,15,NO,NO,NO,TRI
44,Propylene,2121160.532,24,15,NO,NO,NO,TRI
45,Phthalic anhydride,2036888.24,11,15,NO,NO,NO,TRI
46,Formaldehyde,1867688.252,48,15,YES,NO,NO,TRI
47,Nickel,1860739.095,266,15,YES,NO,NO,TRI
48,Methyl isobutyl ketone,1752886.459,58,15,YES,NO,NO,TRI
49,Naphthalene,1730445.98,89,15,YES,NO,NO,TRI
50,Benzene,1724190.292,51,15,YES,NO,NO,TRI
51,1-Bromopropane,1692283.412,15,9,YES,NO,NO,TRI
52,Trichloroethylene,1521981.62,35,15,YES,NO,NO,TRI
53,Ethylbenzene,1497979.883,102,15,YES,NO,NO,TRI
54,Dichloromethane,1477824.769,23,15,YES,NO,NO,TRI
55,Barium,1472690.239,7,14,NO,NO,NO,TRI
56,Sodium nitrite,1451817.227,56,15,NO,NO,NO,TRI
57,Cyclohexane,1402829.33,42,15,NO,NO,NO,TRI
58,Cobalt compounds,1358227.79,33,15,YES,NO,NO,TRI
59,sec-Butyl alcohol,1070127.848,21,15,NO,NO,NO,TRI
60,Vinyl acetate,971782.4180000001,19,15,YES,NO,NO,TRI
61,Chlorodifluoromethane (HCFC-22),920729.45,8,15,NO,NO,NO,TRI
62,Molybdenum trioxide,884263.74,10,15,YES,NO,NO,TRI
63,Arsenic compounds,855527.286,11,15,YES,NO,NO,TRI
64,"1,3-Butadiene",833210.01,8,15,YES,NO,NO,TRI
65,Sulfuryl fluoride,823475.7,5,15,NO,NO,NO,TRI
66,Cadmium compounds,768496.899,14,15,YES,NO,NO,TRI
67,Chloromethane,758453.633,4,15,NO,NO,NO,TRI
68,Cumene,750864.55,41,15,YES,NO,NO,TRI
69,Methyl methacrylate,724291.948,27,15,NO,NO,NO,TRI
70,Diisocyanates,705380.13,85,15,NO,NO,NO,TRI
71,Polycyclic aromatic compounds,590796.172,86,15,YES,YES,NO,PBT
72,Cobalt  And Cobalt Compounds,565921.608,11,7,YES,NO,NO,TRI
73,Chlorine,555837.582,28,15,NO,NO,NO,TRI
74,Thallium compounds,526392.8,7,9,NO,NO,NO,TRI
75,Acrylonitrile,510938.373,5,15,YES,NO,NO,TRI
76,Acetonitrile,503978.742,6,15,NO,NO,NO,TRI
77,Antimony compounds,484175.221,33,15,NO,NO,NO,TRI
78,Selenium compounds,475173.044,12,15,NO,NO,NO,TRI
79,m-Xylene,464017.33,7,15,NO,NO,NO,TRI
80,Silver compounds,436861.21,5,13,NO,NO,NO,TRI
81,Vanadium (except when contained in an alloy),412350.0,3,11,NO,NO,NO,TRI
82,Carbonyl sulfide,404237.701,7,15,NO,NO,NO,TRI
83,Beryllium compounds,395541.454,3,13,YES,NO,NO,TRI
84,Vinyl chloride,296968.71,1,15,YES,NO,NO,TRI
85,Cyanide compounds,276505.403,25,15,NO,NO,NO,TRI
86,N-Methyl-2-pyrrolidone,273507.174,35,15,NO,NO,NO,TRI
87,Tetrachloroethylene,271610.256,22,15,YES,NO,NO,TRI
88,Selenium,249978.185,5,15,NO,NO,NO,TRI
89,o-Xylene,246909.14,5,15,NO,NO,NO,TRI
90,Acrolein,221068.407,13,15,YES,NO,NO,TRI
91,"1,4-Dioxane",206948.93,4,15,YES,NO,NO,TRI
92,Cadmium,193933.158,5,12,YES,NO,NO,TRI
93,Methyl acrylate,182067.57,6,15,YES,NO,NO,TRI
94,Bromomethane,175781.0,2,15,NO,NO,NO,TRI
